title,company,location,work_type,level,compensation,link,id,scraped_date
Agentic AI Engineer,Whitespace (inthewhitespace.com),,,,,https://www.builtinla.com/job/agentic-ai-engineer/9048995,9048995,2026-04-22
AI Engineer,Mento,,,,,https://www.builtinla.com/job/ai-engineer/9047393,9047393,2026-04-22
AI Engineer (Agents Lead),Tambo,,,,,https://www.builtinla.com/job/ai-engineer-agents-lead/9028310,9028310,2026-04-22
"AI Operations Engineer (Internal Agents & Workflow Automation) (Remote, US)",M-Files,,,,,https://www.builtinla.com/job/ai-operations-engineer-internal-agents-workflow-automation-remote-us/8971472,8971472,2026-04-22
"Staff Applied AI Engineer, AI Experiences & Agents",Linktree,,,,,https://www.builtinla.com/job/staff-applied-ai-engineer-ai-experiences-agents/8934174,8934174,2026-04-22
Senior AI Engineer,Revecore,,,,,https://www.builtinla.com/job/senior-ai-engineer/9019378,9019378,2026-04-22
AI Engineer III – AI Enablement,CareSource,,,,,https://www.builtinla.com/job/ai-engineer-iii/9016458,9016458,2026-04-22
Principal AI Engineer,VideoAmp,,,,,https://www.builtinla.com/job/principal-ai-engineer/8923292,8923292,2026-04-22
Applied AI Engineer,Foley,,,,,https://www.builtinla.com/job/applied-ai-engineer/9008266,9008266,2026-04-22
Applied AI Engineer,Future,,,,,https://www.builtinla.com/job/senior-ai-software-engineer/8995605,8995605,2026-04-22
Staff AI Engineer,SpotOn,,,,,https://www.builtinla.com/job/staff-ai-engineer/8977781,8977781,2026-04-22
AI & GTM Engineer,Serotonin,,,,,https://www.builtinla.com/job/ai-gtm-engineer/9107601,9107601,2026-04-22
"AI Engineer Intern, Database Performance Knowledge",Actian,,,,,https://www.builtinla.com/job/ai-engineer-intern-database-performance-knowledge/8971575,8971575,2026-04-22
AI Engineer – Marketing Operations,Cyera,,,,,https://www.builtinla.com/job/ai-engineer-marketing-operations/8966654,8966654,2026-04-22
Senior AI Engineer,Cellebrite,,,,,https://www.builtinla.com/job/senior-ai-engineer/8966221,8966221,2026-04-22
Applied AI Engineer,Cadence (cadence.care),,,,,https://www.builtinla.com/job/applied-ai-engineer/8962214,8962214,2026-04-22
Senior AI Engineer,Cadence (cadence.care),,,,,https://www.builtinla.com/job/senior-ai-engineer/8962200,8962200,2026-04-22
Staff Software Engineer - AI Marketing - US (Remote),Luxury Presence,,,,,https://www.builtinla.com/job/staff-software-engineer-ai-marketing-us-remote/8923434,8923434,2026-04-22
AI-Native Quality Engineer,Bestow,,,,,https://www.builtinla.com/job/ai-native-quality-engineer/8918988,8918988,2026-04-22
Senior Data & AI Engineer,Alvys,,,,,https://www.builtinla.com/job/senior-data-engineer/8709662,8709662,2026-04-22
Senior Software Engineer – AI & Workflow Automation,Deluxe Media Inc.,,,,,https://www.builtinla.com/job/senior-software-engineer-ai-workflow-automation/8844329,8844329,2026-04-22
Staff AI Engineer,SecurityScorecard,,,,,https://www.builtinla.com/job/staff-ai-engineer/8956504,8956504,2026-04-22
Senior AI Engineer,SecurityScorecard,,,,,https://www.builtinla.com/job/senior-ai-engineer/8956492,8956492,2026-04-22
AI Engineer,Sharebite,,,,,https://www.builtinla.com/job/ai-engineer/8953975,8953975,2026-04-22
Senior AI Engineer - Monetization Platform,Yahoo,,,,,https://www.builtinla.com/job/senior-ai-engineer-monetization-platform/8942702,8942702,2026-04-22
Agentic AI Engineer,Eigen Labs,,,,,https://www.builtinla.com/job/agentic-ai-engineer/8936191,8936191,2026-04-22
Staff Engineer - AI Engineer,Nagarro,,,,,https://www.builtinla.com/job/staff-engineer-ai-engineer/8934061,8934061,2026-04-22
Data & AI Engineer (Remote),FortifyIQ,,,,,https://www.builtinla.com/job/data-ai-engineer-remote/8931572,8931572,2026-04-22
Artificial Intelligence Engineer,InsightNext,,,,,https://www.builtinla.com/job/artificial-intelligence-engineer/8916754,8916754,2026-04-22
Senior Backend Engineer - AI Product,Re:Build Manufacturing,,,,,https://www.builtinla.com/job/senior-backend-engineer-ai-product/9032173,9032173,2026-04-22
Senior Frontend Engineer - AI Product,Re:Build Manufacturing,,,,,https://www.builtinla.com/job/senior-frontend-engineer-ai-product/9032158,9032158,2026-04-22
AI Engineer,Analytica,,,,,https://www.builtinla.com/job/ai-engineer/8903249,8903249,2026-04-22
